Date,Amount,Category,Merchant_Name,Payment_Mode
02-07-2024,530.69,Utilities,Airtel,UPI
03-08-2024,198.54,Food,Dominos,UPI
2024/06/24,821.34,Education,Books_Store,UPI
07-07-2024,163.88,,Uber,UPI
17-09-2024,298.12,Entertainment,Spotify,UPI
29-10-2024,109.5,Transport,Rapido,UPI
25-09-2024,311.63,Entertainment,BookMyShow,UPI
19-07-2024,375.46,Entertainment,Spotify,Card
08-07-2024,368.13,Entertainment,BookMyShow,UPI
26-10-2024,198.76,Food,CCD,UPI
01-07-2024,117.28,Food,Local_Dhaba,UPI
07-06-2024,167.63,Food,Dominos,Card
18-09-2024,147.95,Food,CCD,UPI
23-07-2024,608.46,Utilities,Jio_Recharge,UPI
09-08-2024,418.57,Entertainment,BookMyShow,Card
2024/11/15,115.84,Food,Zomato,UPI
29-09-2024,375.66,Entertainment,Steam,UPI
06-09-2024,482.65,Education,Udemy,UPI
10-08-2024,219.01,Food,Dominos,Cash
02-10-2024,260.9,Entertainment,Steam,Card
17-11-2024,467.13,Education,Udemy,UPI
03-10-2024,215.4,Food,CCD,UPI
22-08-2024,70.77,Food,Dominos,Card
19-08-2024,219.14,Entertainment,Steam,UPI
12-09-2024,153.9,Food,Swiggy,UPI
09-09-2024,252.95,Entertainment,Netflix,UPI
15-07-2024,145.52,Transport,Rapido,UPI
03-08-2024,805.71,Utilities,EB_Bill,Cash
05-07-2024,154.92,Food,Local_Dhaba,UPI
12-06-2024,95.75,Transport,BMTC_Pass,UPI
01-09-2024,178.94,Food,Zomato,UPI
10-07-2024,610.66,Utilities,Airtel,UPI
17-08-2024,322.9,Entertainment,BookMyShow,Card
20-10-2024,255.77,Food,Dominos,Cash
04-08-2024,71.47,Transport,Namma_Metro,Card
15-10-2024,766.32,Utilities,Laundry,UPI
23-08-2024,534.69,Utilities,Jio_Recharge,Cash
23-11-2024,348.9,Entertainment,PVR_Cinemas,Cash
07-08-2024,395.14,Entertainment,Steam,UPI
25-08-2024,301.41,Food,Local_Dhaba,UPI
26-06-2024,147.18,Food,Subway,UPI
12-09-2024,515.81,,Jio_Recharge,UPI
28-07-2024,216.68,Food,Dominos,UPI
22-09-2024,269.82,Food,Swiggy,Cash
08-06-2024,269.15,Food,Subway,Cash
30-09-2024,610.48,Utilities,EB_Bill,UPI
19-09-2024,480.73,Utilities,EB_Bill,UPI
10-09-2024,403.43,Entertainment,BookMyShow,Card
01-08-2024,561.48,Utilities,EB_Bill,Card
2024/09/06,252.25,Entertainment,Steam,UPI
11-11-2024,417.34,Utilities,Jio_Recharge,Card
26-10-2024,256.9,Food,Zomato,UPI
07-08-2024,118.75,Transport,Uber,UPI
13-09-2024,192.98,Food,Local_Dhaba,UPI
29-08-2024,246.89,Food,Zomato,UPI
28-07-2024,5578.6,Utilities,PG_Rent,UPI
09-07-2024,238.62,Entertainment,BookMyShow,UPI
15-11-2024,802.01,Education,Coursera,UPI
14-09-2024,303.17,Entertainment,PVR_Cinemas,Cash
16-08-2024,139.01,Food,Mess_Canteen,UPI
19-11-2024,123.3,Transport,Namma_Metro,UPI
12-11-2024,101.33,Food,CCD,UPI
07-06-2024,358.29,Entertainment,BookMyShow,Cash
2024/10/03,159.63,Food,Zomato,UPI
17-07-2024,158.96,Food,Subway,Card
25-09-2024,212.28,Entertainment,Netflix,UPI
18-06-2024,350.38,Entertainment,PVR_Cinemas,UPI
14-11-2024,151.91,Entertainment,BookMyShow,Cash
03-09-2024,433.82,Utilities,Airtel,Cash
04-10-2024,721.47,Utilities,PG_Rent,UPI
27-11-2024,179.63,,Subway,UPI
11-09-2024,95.06,Transport,Ola,UPI
11-09-2024,248.57,Food,Zomato,UPI
15-08-2024,159.56,Transport,Namma_Metro,UPI
22-07-2024,577.26,Education,Books_Store,UPI
17-11-2024,149.62,Food,Subway,Cash
18-09-2024,179.04,food,Swiggy,UPI
11-07-2024,48.06,Transport,Namma_Metro,UPI
29-10-2024,193.38,Food,Local_Dhaba,UPI
27-07-2024,97.05,Transport,Namma_Metro,Cash
22-08-2024,366.96,Utilities,EB_Bill,Card
18-08-2024,225.09,Entertainment,Spotify,Card
20-10-2024,135.91,Food,Subway,Card
25-09-2024,201.69,Food,Dominos,UPI
19-06-2024,123.52,Transport,BMTC_Pass,UPI
20-11-2024,169.63,Food,Subway,Cash
17-09-2024,321.78,Entertainment,Steam,Cash
2024/11/04,177.35,Transport,Uber,UPI
03-08-2024,218.88,Food,Local_Dhaba,UPI
13-06-2024,819.96,Education,College_Fee,Card
29-07-2024,175.95,Food,Mess_Canteen,Cash
30-06-2024,158.56,Food,Zomato,UPI
23-08-2024,148.31,Food,CCD,UPI
14-06-2024,511.12,Utilities,PG_Rent,Card
18-11-2024,76.4,Transport,Namma_Metro,UPI
2024/10/20,216.33,Food,CCD,UPI
20-08-2024,534.76,Utilities,Laundry,Card
15-09-2024,117.69,Transport,BMTC_Pass,Cash
22-10-2024,294.36,Entertainment,Netflix,Card
18-08-2024,133.83,Transport,Namma_Metro,UPI
08-10-2024,137.93,Transport,Namma_Metro,Card
11-08-2024,71.6,Transport,Ola,UPI
22-06-2024,102.11,Entertainment,PVR_Cinemas,UPI
16-06-2024,222.74,Food,Swiggy,UPI
06-06-2024,824.3,Utilities,Laundry,UPI
31-07-2024,97.58,Transport,Uber,Card
28-06-2024,70.76,Food,Subway,UPI
15-11-2024,100.34,Food,Mess_Canteen,Cash
24-06-2024,415.66,Education,College_Fee,Cash
03-08-2024,435.97,Education,College_Fee,UPI
13-06-2024,819.96,Education,College_Fee,Card
26-06-2024,75.44,Transport,BMTC_Pass,UPI
13-09-2024,148.19,Food,Local_Dhaba,Cash
09-08-2024,142.04,Food,Subway,UPI
17-11-2024,684.85,Utilities,EB_Bill,Cash
01-07-2024,118.81,Transport,BMTC_Pass,UPI
24-07-2024,200.28,Food,Subway,UPI
24-06-2024,729.27,Education,College_Fee,Cash
30-07-2024,26.72,Transport,Ola,Card
19-11-2024,120.94,Transport,Uber,Card
13-07-2024,203.63,Food,Subway,UPI
23-11-2024,229.97,Food,CCD,Cash
05-11-2024,633.24,Utilities,PG_Rent,UPI
11-10-2024,219.77,Food,Swiggy,UPI
15-07-2024,303.22,Education,Books_Store,Card
17-11-2024,150.47,food,Zomato,Card
30-06-2024,577.65,Education,Udemy,UPI
10-06-2024,707.64,Education,Books_Store,Card
25-09-2024,245.49,Entertainment,Steam,UPI
06-11-2024,331.68,Entertainment,Netflix,Card
11-07-2024,95.65,Transport,Rapido,UPI
14-08-2024,127.83,Transport,Uber,Card
08-06-2024,144.76,Entertainment,Netflix,Card
15-08-2024,191.91,Food,Dominos,Cash
03-07-2024,112.03,Transport,Namma_Metro,Cash
2024/09/24,186.48,Transport,BMTC_Pass,UPI
12-09-2024,193.88,Food,Subway,Cash
28-09-2024,230.71,Food,Subway,Cash
03-11-2024,559.17,Education,Udemy,Cash
2024/08/01,167.21,Food,Dominos,UPI
20-11-2024,116.91,Education,Udemy,Cash
10-11-2024,241.03,Food,Swiggy,Cash
11-09-2024,106.66,Transport,BMTC_Pass,UPI
04-08-2024,150.93,Food,Subway,UPI
2024/11/24,634.28,Education,Udemy,UPI
24-11-2024,378.26,Entertainment,Spotify,UPI
02-10-2024,143.25,Food,Zomato,UPI
2024/11/21,750.04,Utilities,Airtel,UPI
04-06-2024,73.82,Food,Local_Dhaba,Cash
04-10-2024,520.98,Entertainment,BookMyShow,UPI
11-08-2024,354.26,Education,Books_Store,Cash
07-10-2024,635.57,Utilities,Laundry,UPI
11-08-2024,430.23,Entertainment,PVR_Cinemas,UPI
2024/06/07,416.95,Education,College_Fee,Cash
17-08-2024,108.85,Entertainment,BookMyShow,UPI
06-11-2024,50.5,Food,Swiggy,Card
2024/07/31,2404.4,Entertainment,PVR_Cinemas,UPI
03-09-2024,82.31,Transport,Ola,Card
07-10-2024,143.97,Food,Local_Dhaba,UPI
04-07-2024,676.89,Education,Books_Store,UPI
30-08-2024,660.2,Utilities,EB_Bill,Card
25-07-2024,107.8,Food,Dominos,UPI
27-07-2024,229.91,Food,Subway,Card
05-11-2024,308.65,Entertainment,Spotify,UPI
29-06-2024,705.55,Utilities,EB_Bill,UPI
23-06-2024,192.15,Food,Swiggy,Cash
18-06-2024,175.68,Food,Local_Dhaba,UPI
17-08-2024,260.1,Entertainment,Netflix,UPI
26-10-2024,129.74,Transport,Rapido,UPI
03-07-2024,143.77,Food,Swiggy,UPI
05-07-2024,78.73,Transport,Rapido,Card
15-08-2024,493.06,Entertainment,Spotify,Cash
02-07-2024,182.74,Food,Mess_Canteen,UPI
16-10-2024,658.34,Utilities,PG_Rent,Card
19-11-2024,721.3,Education,Books_Store,UPI
18-08-2024,145.7,Transport,Namma_Metro,UPI
04-06-2024,157.23,Food,Dominos,Card
15-11-2024,127.31,Entertainment,BookMyShow,Cash
19-11-2024,163.47,Food,Local_Dhaba,UPI
21-10-2024,84.14,Food,Local_Dhaba,UPI
07-10-2024,707.06,Utilities,Laundry,UPI
05-10-2024,181.99,,Zomato,Cash
17-09-2024,583.75,Education,College_Fee,Card
29-10-2024,77.43,Food,CCD,Cash
05-10-2024,160.44,Entertainment,PVR_Cinemas,Cash
20-10-2024,301.4,Entertainment,Netflix,Cash
12-07-2024,457.98,Entertainment,PVR_Cinemas,Cash
27-08-2024,170.66,Food,Zomato,Cash
2024/08/10,251.77,,Coursera,UPI
24-11-2024,240.88,Entertainment,BookMyShow,UPI
06-06-2024,335.4,Entertainment,BookMyShow,UPI
12-09-2024,125.91,Food,Zomato,Cash
13-08-2024,82.36,Food,Mess_Canteen,UPI
21-09-2024,198.81,Food,Zomato,UPI
16-08-2024,271.17,Education,Xerox_Shop,UPI
01-06-2024,492.96,Education,Udemy,Cash
06-09-2024,145.54,Food,Local_Dhaba,UPI
11-07-2024,378.76,Education,Books_Store,UPI
21-08-2024,194.18,Food,Mess_Canteen,UPI
30-06-2024,174.73,Food,Local_Dhaba,UPI
10-07-2024,123.63,Entertainment,Netflix,UPI
29-08-2024,419.04,Education,Books_Store,UPI
05-09-2024,119.54,Food,CCD,Cash
23-11-2024,308.94,Entertainment,Netflix,UPI
14-10-2024,152.55,Food,Dominos,Cash
31-07-2024,155.86,Transport,Rapido,Cash
09-11-2024,93.71,Transport,Namma_Metro,Cash
09-06-2024,127.8,Entertainment,Netflix,UPI
10-06-2024,172.96,Transport,Uber,Cash
31-10-2024,112.24,Food,Zomato,Card
19-07-2024,1053.9,Food,Dominos,UPI
2024/10/01,106.63,Transport,Ola,Cash
30-09-2024,209.27,Entertainment,PVR_Cinemas,Cash
23-09-2024,508.36,Education,Xerox_Shop,UPI
08-11-2024,941.42,Utilities,Airtel,Cash
2024/10/07,376.9,Education,Udemy,Card
26-11-2024,178.46,Food,Local_Dhaba,UPI
09-07-2024,200.7,Food,Local_Dhaba,UPI
10-10-2024,132.47,Transport,Uber,Cash
14-11-2024,127.05,Transport,Rapido,Card
19-10-2024,259.36,Food,CCD,Cash
18-06-2024,311.27,Entertainment,Spotify,Card
07-06-2024,961.83,Education,Xerox_Shop,UPI
13-09-2024,402.22,Education,Coursera,Cash
10-10-2024,633.56,Utilities,Jio_Recharge,UPI
19-09-2024,178.52,Food,CCD,Cash
03-10-2024,118.66,Transport,Uber,Cash
26-06-2024,162.65,Food,Zomato,UPI
19-08-2024,764.94,Utilities,Laundry,UPI
09-08-2024,172.31,Food,Dominos,UPI
15-06-2024,374.7,Education,Xerox_Shop,Card
23-11-2024,338.29,Entertainment,PVR_Cinemas,Cash
22-10-2024,466.13,Education,Xerox_Shop,Cash
21-07-2024,249.59,,Xerox_Shop,UPI
29-10-2024,140.36,Transport,Ola,Cash
2024/10/17,150.59,Food,Swiggy,UPI
19-07-2024,383.51,Entertainment,BookMyShow,UPI
23-08-2024,119.45,Transport,Uber,UPI
25-07-2024,151.1,Food,Zomato,UPI
31-08-2024,278.22,Education,College_Fee,UPI
05-08-2024,173.4,Entertainment,Spotify,UPI
27-09-2024,598.15,Education,Xerox_Shop,UPI
08-10-2024,158.91,Transport,Ola,Card
03-06-2024,321.04,Entertainment,PVR_Cinemas,UPI
20-11-2024,204.05,Food,Local_Dhaba,UPI
19-10-2024,737.9,Education,Coursera,Card
27-06-2024,134.25,Transport,Uber,UPI
05-06-2024,283.44,Entertainment,PVR_Cinemas,UPI
23-11-2024,224.75,Food,Local_Dhaba,Cash
07-08-2024,317.31,Utilities,PG_Rent,Cash
03-10-2024,482.79,Education,College_Fee,UPI
15-09-2024,188.55,Food,Local_Dhaba,UPI
17-10-2024,346.35,,Netflix,Card
2024/09/01,202.94,Food,Dominos,Cash
14-11-2024,62.16,Food,Dominos,Cash
16-11-2024,481.86,Education,College_Fee,Cash
2024/11/08,599.35,Utilities,PG_Rent,Cash
29-07-2024,746.25,Utilities,EB_Bill,Card
04-09-2024,143.45,Transport,Rapido,UPI
21-06-2024,486.76,Education,Coursera,UPI
18-08-2024,585.89,Education,Xerox_Shop,UPI
24-10-2024,376.18,Education,Coursera,UPI
24-07-2024,98.42,Transport,Rapido,Cash
17-10-2024,153.46,Food,CCD,Cash
12-10-2024,69.33,Transport,BMTC_Pass,UPI
09-10-2024,58.28,Food,Zomato,UPI
13-07-2024,343.79,Entertainment,BookMyShow,UPI
22-08-2024,89.51,Transport,Namma_Metro,UPI
2024/09/11,130.01,Food,Local_Dhaba,UPI
30-09-2024,352.97,Entertainment,Netflix,UPI
08-11-2024,119.94,Food,Mess_Canteen,Cash
05-10-2024,1013.8,Utilities,PG_Rent,UPI
14-06-2024,180.29,Food,Mess_Canteen,UPI
22-07-2024,538.4,Education,Udemy,Cash
08-08-2024,206.51,Food,Subway,Card
29-06-2024,296.96,Food,Swiggy,UPI
17-06-2024,119.13,Transport,BMTC_Pass,UPI
08-11-2024,107.43,Transport,BMTC_Pass,UPI
24-09-2024,875.32,Utilities,Jio_Recharge,UPI
14-11-2024,75.87,Transport,Uber,Card
03-11-2024,394.83,Entertainment,BookMyShow,Card
05-11-2024,140.86,Food,Subway,Card
17-08-2024,357.17,Entertainment,Steam,UPI
29-07-2024,182.19,Transport,Rapido,UPI
12-08-2024,450.88,,PVR_Cinemas,Cash
28-08-2024,155.65,Food,Dominos,UPI
18-07-2024,712.34,Utilities,Airtel,UPI
07-07-2024,654.28,Utilities,PG_Rent,UPI
15-09-2024,313.54,Entertainment,Steam,UPI
19-07-2024,170.77,Entertainment,Steam,UPI
19-07-2024,492.46,Education,Books_Store,UPI
22-06-2024,3016.6000000000004,Entertainment,Spotify,UPI
06-09-2024,164.39,Food,CCD,UPI
25-08-2024,517.35,Education,Coursera,Cash
19-08-2024,165.23,Food,Zomato,UPI
06-11-2024,211.28,,Netflix,Cash
24-10-2024,126.28,Transport,Uber,Card
29-06-2024,137.05,Transport,Namma_Metro,Cash
23-08-2024,583.67,Education,Xerox_Shop,UPI
11-10-2024,261.47,Entertainment,BookMyShow,Card
23-09-2024,455.37,Education,Udemy,UPI
16-11-2024,634.57,Utilities,PG_Rent,Card
21-06-2024,317.81,Entertainment,PVR_Cinemas,UPI
29-10-2024,95.09,Transport,Rapido,Cash
26-10-2024,428.76,Education,Xerox_Shop,UPI
03-08-2024,512.63,Utilities,EB_Bill,UPI
05-06-2024,147.12,Transport,Rapido,UPI
01-08-2024,122.83,Transport,Namma_Metro,UPI
15-08-2024,195.28,Food,Mess_Canteen,UPI
07-07-2024,195.94,Food,Subway,UPI
01-07-2024,111.47,Transport,Uber,Card
08-11-2024,89.79,Transport,Uber,Card
22-08-2024,135.27,Transport,Rapido,Card
16-10-2024,384.05,Education,Books_Store,Cash
26-07-2024,83.54,Transport,Namma_Metro,UPI
17-11-2024,233.15,Food,CCD,Cash
22-11-2024,901.99,Utilities,Jio_Recharge,Cash
01-08-2024,372.98,Education,Xerox_Shop,UPI
25-06-2024,409.16,Education,Books_Store,Card
10-06-2024,70.22,Transport,Uber,UPI
16-06-2024,357.68,Entertainment,Netflix,UPI
28-07-2024,229.95,Entertainment,BookMyShow,Cash
31-08-2024,643.34,Utilities,Jio_Recharge,Cash
24-10-2024,166.7,Food,CCD,Cash
11-11-2024,177.61,Entertainment,Netflix,Cash
20-10-2024,144.79,Food,Dominos,Cash
10-08-2024,408.75,,Steam,UPI
2024/07/31,232.17,,Subway,Card
26-08-2024,317.72,Entertainment,BookMyShow,UPI
07-09-2024,266.42,Food,Local_Dhaba,UPI
23-11-2024,518.99,Utilities,Laundry,UPI
22-11-2024,662.36,,PG_Rent,UPI
13-07-2024,178.35,Entertainment,Steam,Cash
29-10-2024,116.1,Food,CCD,Cash
07-09-2024,116.0,Transport,Namma_Metro,UPI
03-08-2024,234.27,Food,Dominos,UPI
2024/11/11,135.26,Food,Local_Dhaba,UPI
16-09-2024,94.91,Food,CCD,Cash
17-09-2024,234.46,Food,Local_Dhaba,UPI
06-06-2024,102.98,Food,Local_Dhaba,UPI
25-09-2024,175.37,,BMTC_Pass,Cash
07-07-2024,200.35,Food,Swiggy,UPI
02-10-2024,166.42,Food,Zomato,Cash
25-11-2024,886.0,Education,College_Fee,UPI
21-10-2024,99.48,Food,Zomato,UPI
23-10-2024,169.67,Entertainment,PVR_Cinemas,Cash
12-06-2024,80.17,Transport,Namma_Metro,Cash
06-11-2024,136.09,Food,Subway,Card
24-07-2024,412.54,Education,College_Fee,UPI
2024/07/26,102.38,Transport,BMTC_Pass,UPI
27-11-2024,314.9,Utilities,Jio_Recharge,UPI
23-11-2024,870.24,Utilities,PG_Rent,Card
19-06-2024,203.78,Food,CCD,UPI
2024/06/13,291.3,Entertainment,PVR_Cinemas,UPI
11-06-2024,102.58,Transport,Namma_Metro,Cash
07-10-2024,452.72,Utilities,Airtel,Card
13-08-2024,553.37,Utilities,PG_Rent,UPI
15-06-2024,149.29,Transport,Uber,UPI
17-06-2024,160.24,Food,Local_Dhaba,Cash
05-08-2024,121.23,Transport,Uber,UPI
06-08-2024,131.09,Food,Dominos,UPI
12-08-2024,828.47,Education,College_Fee,UPI
10-11-2024,182.98,Transport,Uber,UPI
21-06-2024,644.09,Utilities,Laundry,UPI
22-09-2024,280.34,Education,Xerox_Shop,Cash
04-11-2024,171.98,Transport,Namma_Metro,UPI
21-09-2024,214.27,Food,Mess_Canteen,UPI
2024/11/23,256.05,Food,Swiggy,Card
08-06-2024,196.22,Food,Swiggy,UPI
18-08-2024,643.8,Utilities,EB_Bill,Card
2024/10/02,627.44,Education,Udemy,Cash
22-11-2024,163.36,,Swiggy,Cash
01-06-2024,2413.3,Food,Dominos,Cash
30-08-2024,414.02,Entertainment,Steam,UPI
2024/07/28,252.26,Food,Mess_Canteen,Cash
2024/08/02,464.88,Education,Udemy,UPI
21-11-2024,337.84,Education,Books_Store,Cash
29-09-2024,100.34,Transport,Namma_Metro,UPI
11-07-2024,114.75,Food,Local_Dhaba,UPI
14-10-2024,861.64,Utilities,PG_Rent,Card
31-10-2024,75.69,Transport,Rapido,Card
11-08-2024,222.4,,Swiggy,UPI
16-10-2024,103.36,Transport,BMTC_Pass,Cash
06-09-2024,387.18,Entertainment,Steam,UPI
14-09-2024,413.66,Utilities,PG_Rent,UPI
21-06-2024,1060.48,Utilities,Airtel,UPI
06-11-2024,166.9,Entertainment,BookMyShow,UPI
21-11-2024,191.36,Food,Zomato,Cash
04-11-2024,760.13,Utilities,Airtel,UPI
17-07-2024,103.96,Transport,Uber,UPI
16-06-2024,233.51,Food,Mess_Canteen,Cash
20-08-2024,188.59,Food,Local_Dhaba,Cash
2024/09/07,80.17,Transport,Uber,UPI
22-09-2024,108.26,Transport,Uber,UPI
06-10-2024,53.9,Transport,Uber,UPI
2024/07/11,199.24,Food,Local_Dhaba,UPI
13-09-2024,195.18,Transport,Rapido,Card
31-07-2024,119.53,Food,CCD,UPI
04-10-2024,445.71,Utilities,Jio_Recharge,Cash
09-10-2024,808.46,Utilities,PG_Rent,UPI
2024/11/13,97.54,Transport,BMTC_Pass,Cash
13-08-2024,709.87,Utilities,EB_Bill,Cash
04-07-2024,298.33,Entertainment,Netflix,Card
16-07-2024,320.32,Education,Xerox_Shop,Cash
2024/08/15,508.74,Entertainment,BookMyShow,UPI
19-09-2024,128.06,Food,Mess_Canteen,UPI
12-11-2024,158.61,Transport,Rapido,Cash
12-07-2024,187.22,Food,CCD,UPI
20-09-2024,77.11,Transport,BMTC_Pass,UPI
24-08-2024,444.66,Entertainment,Netflix,Cash
27-10-2024,188.15,Food,Swiggy,UPI
19-11-2024,183.81,Food,Zomato,Card
14-10-2024,128.06,Transport,Uber,UPI
20-10-2024,645.74,Education,Udemy,Cash
20-08-2024,253.41,Entertainment,PVR_Cinemas,UPI
25-11-2024,634.24,,Xerox_Shop,UPI
14-09-2024,257.83,food,Zomato,UPI
24-10-2024,162.02,Food,Subway,Cash
24-06-2024,331.3,Education,Books_Store,Cash
03-08-2024,665.99,Utilities,Jio_Recharge,UPI
31-07-2024,411.25,Entertainment,Steam,UPI
03-11-2024,536.57,Education,Coursera,UPI
15-09-2024,727.5,Utilities,Laundry,UPI
